TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
175,13534,77.33714,-10.90857,175,0.4046389,0.1
176,13570,77.10227,-10.73295,175,0.4036973,0.1
177,13616,76.92655,-10.57062,175,0.4025505,0.1
178,13661,76.74719,-10.20225,175,0.4033765,0.1
179,13706,76.56983,-10.01676,175,0.4028764,0.1
180,13750,76.38889,-10.16111,175,0.4029508,0.1
181,13795,76.21547,-10.1105,175,0.40189,0.1
182,13837,76.02747,-10.10989,175,0.4016613,0.1
183,13880,75.84699,-10.0929,175,0.4016753,0.1
184,13916,75.63043,-9.929348,175,0.3999912,0.1
185,13957,75.44324,-9.902702,175,0.3995662,0.1
186,14000,75.26881,-9.672043,175,0.3993151,0.1
187,14039,75.07487,-9.679145,175,0.3989122,0.1
188,14080,74.89362,-9.696809,175,0.3992021,0.1
189,14123,74.72487,-9.555555,175,0.3982264,0.1
190,14166,74.55789,-9.668421,175,0.3975344,0.1
191,14210,74.3979,-9.638743,175,0.3982043,0.1
192,14253,74.23438,-9.708333,175,0.3989891,0.1
193,14293,74.05699,-9.61658,175,0.3988027,0.1
194,14334,73.8866,-9.427835,175,0.3993806,0.1
195,14369,73.68718,-9.333333,175,0.3986242,0.1
196,14408,73.5102,-9.178572,175,0.3976429,0.1
197,14450,73.35025,-8.979695,175,0.3983769,0.1
198,14493,73.19697,-8.848485,175,0.3981325,0.1
199,14536,73.04523,-8.718593,175,0.3977886,0.1
200,14580,72.9,-8.775,175,0.398394,0.1
201,14622,72.74627,-8.582089,175,0.3980502,0.1
202,14659,72.56931,-8.346535,175,0.3980018,0.1
203,14702,72.42365,-8.339902,175,0.3967688,0.1
204,14744,72.27451,-8.269608,175,0.3959454,0.1
205,14788,72.13659,-8.287805,175,0.3962081,0.1
206,14831,71.99515,-8.126214,175,0.395216,0.1
207,14875,71.8599,-7.951691,175,0.3947183,0.1
208,14919,71.72596,-7.740385,175,0.3946429,0.1
209,14959,71.57417,-7.741627,175,0.3941203,0.1
210,14996,71.40952,-7.595238,175,0.3933724,0.1
211,15039,71.27488,-7.630332,175,0.3931467,0.1
212,15080,71.13207,-7.693396,175,0.3926605,0.1
213,15119,70.98122,-7.633803,175,0.3920305,0.1
214,15158,70.83178,-7.574766,175,0.3917089,0.1
215,15200,70.69768,-7.139535,175,0.3911597,0.1
216,15240,70.55556,-6.958333,175,0.3915668,0.1
217,15280,70.41475,-6.926267,175,0.3915764,0.1
218,15321,70.27982,-6.880734,175,0.3903646,0.1
219,15361,70.14156,-6.739726,175,0.3893744,0.1
220,15403,70.01363,-6.718182,175,0.3892488,0.1
221,15444,69.88235,-6.782805,175,0.3884121,0.1
222,15485,69.75225,-6.63063,175,0.3872534,0.1
223,15525,69.61884,-6.600897,175,0.3876256,0.1
224,15565,69.48661,-6.571429,175,0.3874256,0.1
225,15606,69.36,-6.742222,175,0.3878861,0.1
226,15643,69.21681,-6.716814,175,0.3879007,0.1
227,15675,69.05286,-6.581498,175,0.3865071,0.1
228,15715,68.92544,-6.447369,175,0.3858258,0.1
229,15755,68.79913,-6.349345,175,0.3848377,0.1
230,15795,68.67391,-6.321739,175,0.3844399,0.1
231,15835,68.54978,-6.294372,175,0.384408,0.1
232,15874,68.42242,-6.314655,175,0.3844265,0.1
233,15913,68.29613,-6.403433,175,0.3853161,0.1
234,15953,68.17522,-6.17094,175,0.3856758,0.1
235,15993,68.05532,-6.076596,175,0.3847733,0.1
236,16033,67.93644,-6.016949,175,0.3844894,0.1
237,16073,67.81857,-5.957806,175,0.3839151,0.1
238,16114,67.70588,-5.819328,175,0.384089,0.1
239,16154,67.58996,-5.861925,175,0.3835011,0.1
240,16195,67.47916,-5.891667,175,0.3833046,0.1
241,16235,67.36514,-5.966805,175,0.3838789,0.1
242,16274,67.24793,-5.88843,175,0.3842017,0.1
243,16310,67.11934,-5.880659,175,0.3843176,0.1
244,16348,67,-5.782787,175,0.3845813,0.1
245,16386,66.88163,-5.587755,175,0.3855577,0.1
246,16423,66.76016,-5.471545,175,0.3852667,0.1
247,16461,66.64372,-5.473684,175,0.385124,0.1
248,16498,66.52419,-5.423387,175,0.3854235,0.1
249,16535,66.40562,-5.46988,175,0.3848769,0.1
250,16572,66.288,-5.42,175,0.3849036,0.1
251,16608,66.16733,-5.446215,175,0.3847235,0.1
252,16645,66.05159,-5.269841,175,0.3856612,0.1
253,16681,65.93281,-5.201581,175,0.3851263,0.1
254,16719,65.82284,-5.07874,175,0.3841059,0.1
255,16755,65.70588,-4.949019,175,0.3836973,0.1
256,16791,65.58984,-4.851563,175,0.3832627,0.1
257,16828,65.4786,-4.929961,175,0.3838893,0.1
258,16864,65.36434,-4.895349,175,0.3833319,0.1
259,16900,65.25097,-4.953668,175,0.3827885,0.1
260,16935,65.13461,-4.776923,175,0.3826847,0.1
261,16970,65.01916,-4.724138,175,0.3823818,0.1
262,17006,64.90839,-4.660306,175,0.3819477,0.1
263,17041,64.79468,-4.486692,175,0.3819609,0.1
264,17078,64.68939,-4.534091,175,0.381734,0.1
265,17113,64.57736,-4.543396,175,0.3814913,0.1
266,17149,64.46992,-4.571429,175,0.3811107,0.1
267,17180,64.34457,-4.445693,175,0.3810681,0.1
268,17214,64.23135,-4.496269,175,0.3813844,0.1
269,17249,64.12267,-4.505576,175,0.3809955,0.1
270,17270,63.96296,-4.522222,175,0.3801836,0.1
271,17284,63.7786,-4.586716,175,0.378442,0.1
272,17303,63.61397,-4.566176,175,0.3778424,0.1
273,17335,63.49817,-4.54945,175,0.3777975,0.1
274,17369,63.39051,-4.394161,175,0.3773289,0.1
275,17406,63.29454,-4.527273,175,0.3773777,0.1
276,17442,63.19565,-4.467391,175,0.3779489,0.1
277,17475,63.08664,-4.440433,175,0.3774798,0.1
278,17510,62.98561,-4.276978,175,0.3780051,0.1
279,17548,62.89606,-4.082437,175,0.378298,0.1
280,17584,62.8,-3.967857,175,0.3772093,0.1
281,17621,62.70818,-3.786477,175,0.3774593,0.1
282,17659,62.62057,-3.70922,175,0.377149,0.1
283,17696,62.53004,-3.586572,175,0.3777283,0.1
284,17733,62.44014,-3.521127,175,0.3775892,0.1
285,17770,62.35088,-3.48421,175,0.3770179,0.1
286,17805,62.25525,-3.412587,175,0.377276,0.1
287,17841,62.16376,-3.498258,175,0.3777942,0.1
288,17878,62.07639,-3.434028,175,0.3768604,0.1
289,17914,61.98616,-3.380623,175,0.3768549,0.1
290,17950,61.89655,-3.272414,175,0.3759914,0.1
291,17987,61.811,-3.182131,175,0.376261,0.1
292,18024,61.72603,-3.202055,175,0.3759808,0.1
293,18059,61.63481,-3.324232,175,0.3761944,0.1
