TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
217,11992,55.26267,-5.382488,80,0.3417211
218,12029,55.1789,-5.399083,80,0.341709
219,12065,55.09132,-5.429224,80,0.3417045
220,12101,55.00455,-5.35,80,0.3416765
221,12138,54.92308,-5.511312,80,0.3424067
222,12174,54.83784,-5.432433,80,0.3429017
223,12199,54.70404,-5.282511,80,0.3428578
224,12212,54.51786,-5.444196,80,0.3415933
225,12227,54.34222,-5.54,80,0.3404051
226,12242,54.16814,-5.705752,80,0.3390592
227,12268,54.04405,-5.654185,80,0.3383746
228,12300,53.94737,-5.55921,80,0.3379574
229,12325,53.82096,-5.556768,80,0.337623
230,12355,53.71739,-5.593478,80,0.3380292
231,12389,53.63203,-5.54329,80,0.3386938
232,12427,53.56466,-5.717672,80,0.3386871
233,12465,53.49785,-5.61588,80,0.3380642
234,12503,53.43163,-5.412393,80,0.33785
235,12541,53.36596,-5.448936,80,0.3383197
236,12579,53.30085,-5.519068,80,0.3383131
237,12616,53.23207,-5.364979,80,0.3388729
238,12654,53.16807,-5.30042,80,0.338806
239,12692,53.1046,-5.269875,80,0.3384335
240,12730,53.04167,-5.372917,80,0.3386918
241,12767,52.97511,-5.089211,80,0.3392594
242,12814,52.95041,-4.683884,93,0.339457
243,12861,52.92593,-4.742798,93,0.3400901
244,12908,52.90164,-4.637295,93,0.3398664
245,12954,52.87347,-4.642857,93,0.340389
246,12999,52.84146,-4.465447,93,0.3397167
247,13042,52.80162,-4.18421,93,0.3402464
248,13088,52.77419,-4.0625,93,0.3398256
249,13130,52.73092,-3.861446,93,0.3396909
250,13173,52.692,-3.938,93,0.3405746
251,13217,52.65737,-3.906374,93,0.3405297
252,13260,52.61905,-3.950397,93,0.3409257
253,13303,52.58103,-3.772727,93,0.3418886
254,13346,52.54331,-3.627953,93,0.3422863
255,13389,52.50588,-3.735294,93,0.3423621
256,13430,52.46094,-3.646484,93,0.3422843
257,13471,52.41634,-3.558366,93,0.3429308
258,13513,52.37597,-3.521318,93,0.3429514
259,13556,52.33977,-3.534749,93,0.3429789
260,13599,52.30384,-3.363461,93,0.3433123
261,13641,52.26437,-3.327586,93,0.3428858
262,13681,52.21756,-3.253817,93,0.342403
263,13713,52.14069,-3.180608,93,0.343074
264,13745,52.06439,-3.017045,93,0.3434216
265,13778,51.99245,-3.054717,93,0.3437012
266,13810,51.91729,-3.013158,93,0.3431911
267,13844,51.85019,-2.85955,93,0.3435619
268,13877,51.77985,-2.837687,93,0.343262
269,13910,51.71004,-2.726766,93,0.3433884
270,13941,51.63334,-2.787037,93,0.3428776
271,13974,51.56458,-2.795203,93,0.3420888
272,14007,51.49632,-2.715074,93,0.3422104
273,14040,51.42857,-2.664835,93,0.3423532
274,14072,51.35767,-2.655109,93,0.3417725
275,14105,51.29091,-2.46,93,0.3423131
