TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
165,12224,74.08485,-15.56364,116,2.602421,0.1
166,12271,73.92168,-15.34337,116,2.595647,0.1
167,12321,73.77844,-15.11976,116,2.598219,0.1
168,12371,73.6369,-14.99405,116,2.59479,0.1
169,12412,73.44379,-14.88757,116,2.594854,0.1
170,12459,73.28824,-14.91177,116,2.593248,0.1
171,12508,73.1462,-14.5731,116,2.595313,0.1
172,12553,72.98256,-14.5407,116,2.599484,0.1
173,12602,72.84393,-14.43931,116,2.599266,0.1
174,12651,72.70689,-14.15517,116,2.591466,0.1
175,12700,72.57143,-13.92,116,2.594481,0.1
176,12743,72.40341,-13.74432,116,2.588293,0.1
177,12785,72.23164,-13.54237,116,2.584732,0.1
178,12830,72.07865,-13.51685,116,2.584989,0.1
179,12878,71.94414,-13.39665,116,2.584603,0.1
180,12925,71.80556,-12.98333,116,2.587373,0.1
181,12971,71.66299,-13.03315,116,2.591448,0.1
182,13019,71.53297,-13.18132,116,2.59104,0.1
183,13066,71.39891,-12.99454,116,2.585185,0.1
184,13112,71.26087,-13,116,2.588092,0.1
185,13158,71.12432,-12.87568,116,2.584721,0.1
186,13204,70.98925,-12.7957,116,2.584947,0.1
187,13250,70.85561,-12.71658,116,2.582737,0.1
188,13296,70.7234,-12.46809,116,2.575843,0.1
189,13341,70.5873,-12.44974,116,2.578767,0.1
190,13386,70.45263,-12.38947,116,2.57812,0.1
191,13430,70.31413,-12.4712,116,2.582695,0.1
192,13475,70.18229,-12.49479,116,2.580806,0.1
193,13515,70.02591,-12.3886,116,2.575095,0.1
194,13557,69.88145,-12.45876,116,2.574448,0.1
195,13603,69.75897,-12.30256,116,2.570472,0.1
196,13647,69.62755,-12.05612,116,2.560601,0.1
197,13692,69.50254,-12.08122,116,2.562574,0.1
198,13737,69.37878,-11.94444,116,2.554314,0.1
199,13780,69.24623,-11.75879,116,2.545214,0.1
200,13824,69.12,-11.52,116,2.538674,0.1
201,13865,68.9801,-11.36816,116,2.527543,0.1
202,13908,68.85149,-11.38614,116,2.534068,0.1
203,13950,68.71922,-11.14286,116,2.52681,0.1
204,13994,68.59804,-10.7549,116,2.527341,0.1
205,14036,68.46829,-10.67317,116,2.523854,0.1
206,14080,68.34952,-10.79612,116,2.525643,0.1
207,14122,68.22222,-10.94686,116,2.528854,0.1
208,14166,68.10577,-10.91346,116,2.527447,0.1
209,14210,67.99043,-11.07177,116,2.528794,0.1
210,14247,67.84286,-11.02381,116,2.527348,0.1
211,14290,67.72512,-11.00474,116,2.524338,0.1
212,14334,67.6132,-11.08491,116,2.521698,0.1
213,14378,67.50235,-11.23944,116,2.525126,0.1
214,14420,67.38318,-11.08411,116,2.527261,0.1
215,14465,67.27907,-10.96279,116,2.522485,0.1
216,14509,67.1713,-10.81944,116,2.517573,0.1
217,14551,67.0553,-10.7788,116,2.512456,0.1
218,14595,66.94954,-10.63761,116,2.508963,0.1
219,14638,66.84018,-10.51142,116,2.509841,0.1
220,14681,66.73182,-10.49545,116,2.51205,0.1
221,14724,66.62444,-10.33484,116,2.508496,0.1
222,14764,66.5045,-10.36036,116,2.503315,0.1
223,14807,66.3991,-10.30942,116,2.506037,0.1
224,14849,66.29018,-10.20089,116,2.502909,0.1
225,14890,66.17778,-10.14222,116,2.503561,0.1
226,14931,66.06637,-10.15487,116,2.502267,0.1
227,14966,65.92951,-10,116,2.494473,0.1
228,15007,65.82018,-9.97807,116,2.492174,0.1
229,15048,65.71179,-9.921397,116,2.490533,0.1
230,15089,65.60435,-10.00435,116,2.492627,0.1
231,15130,65.49783,-9.74026,116,2.488258,0.1
232,15170,65.38793,-9.594828,116,2.483351,0.1
233,15210,65.27897,-9.553648,116,2.479586,0.1
234,15250,65.17094,-9.581197,116,2.481072,0.1
235,15291,65.06808,-9.629787,116,2.483347,0.1
236,15332,64.9661,-9.474576,116,2.476504,0.1
237,15373,64.86498,-9.388186,116,2.471598,0.1
238,15415,64.76891,-9.289916,116,2.467862,0.1
239,15457,64.67364,-9.292887,116,2.474155,0.1
240,15497,64.57083,-9.220834,116,2.470782,0.1
241,15536,64.46473,-9.294606,116,2.472285,0.1
242,15575,64.3595,-9.433885,116,2.477735,0.1
243,15614,64.25514,-9.374486,116,2.47984,0.1
244,15651,64.14344,-9.438524,116,2.482534,0.1
245,15690,64.04082,-9.444898,116,2.479917,0.1
246,15729,63.93903,-9.321138,116,2.477221,0.1
247,15768,63.83806,-9.263158,116,2.475266,0.1
248,15806,63.73387,-9.217742,116,2.474665,0.1
249,15844,63.63052,-9.044177,116,2.468724,0.1
250,15880,63.52,-9.056,116,2.465457,0.1
251,15919,63.42231,-9,116,2.470843,0.1
252,15957,63.32143,-8.956349,116,2.471503,0.1
253,15995,63.22134,-8.881423,116,2.465449,0.1
254,16033,63.12205,-8.901575,116,2.465079,0.1
255,16070,63.01961,-8.713725,116,2.462372,0.1
256,16109,62.92578,-8.566406,116,2.462264,0.1
257,16146,62.8249,-8.63035,116,2.462325,0.1
258,16183,62.72481,-8.724806,116,2.461212,0.1
259,16220,62.62548,-8.725869,116,2.462747,0.1
260,16256,62.52308,-8.738461,116,2.460192,0.1
261,16293,62.42529,-8.678161,116,2.460456,0.1
262,16330,62.32824,-8.587787,116,2.454985,0.1
263,16368,62.23574,-8.456274,116,2.450754,0.1
264,16405,62.14015,-8.42803,116,2.450132,0.1
265,16442,62.04528,-8.460378,116,2.452657,0.1
266,16479,61.95113,-8.492481,116,2.453173,0.1
267,16516,61.85768,-8.434457,116,2.449382,0.1
268,16553,61.76493,-8.287313,116,2.449789,0.1
269,16590,61.67286,-8.230483,116,2.444365,0.1
270,16626,61.57778,-8.007407,116,2.440861,0.1
271,16662,61.48339,-7.874539,116,2.436947,0.1
272,16699,61.39338,-7.613971,116,2.435611,0.1
273,16735,61.30037,-7.542125,116,2.430707,0.1
274,16771,61.20803,-7.616788,116,2.431953,0.1
275,16808,61.12,-7.592727,116,2.428391,0.1
276,16844,61.02898,-7.637681,116,2.429306,0.1
277,16878,60.93141,-7.501805,116,2.430076,0.1
278,16914,60.84173,-7.546762,116,2.433158,0.1
279,16949,60.7491,-7.716846,116,2.436697,0.1
280,16986,60.66429,-7.835714,116,2.437278,0.1
281,17023,60.58007,-7.839858,116,2.435568,0.1
282,17060,60.49645,-7.843972,116,2.43115,0.1
283,17098,60.41696,-7.696113,116,2.42699,0.1
284,17135,60.33451,-7.700704,116,2.421541,0.1
285,17171,60.24912,-7.687719,116,2.425544,0.1
286,17208,60.16783,-7.72028,116,2.431435,0.1
287,17244,60.08362,-7.679442,116,2.43129,0.1
288,17280,60,-7.583333,116,2.425317,0.1
289,17317,59.92041,-7.532872,116,2.421259,0.1
290,17353,59.83793,-7.603448,116,2.423776,0.1
291,17390,59.75945,-7.525773,116,2.41845,0.1
292,17426,59.67808,-7.486301,116,2.418886,0.1
293,17461,59.59386,-7.430034,116,2.416625,0.1
294,17494,59.5034,-7.394558,116,2.413522,0.1
295,17529,59.42034,-7.474576,116,2.418231,0.1
296,17565,59.34122,-7.408784,116,2.416877,0.1
297,17601,59.26263,-7.505051,116,2.419914,0.1
298,17639,59.19128,-7.580537,116,2.422498,0.1
299,17676,59.11706,-7.585284,116,2.419565,0.1
300,17713,59.04333,-7.51,116,2.417524,0.1
301,17750,58.9701,-7.38206,116,2.41439,0.1
302,17788,58.90066,-7.298013,116,2.416099,0.1
303,17825,58.82838,-7.356436,116,2.418922,0.1
304,17861,58.75329,-7.424342,116,2.416635,0.1
305,17896,58.67541,-7.396721,116,2.413179,0.1
306,17932,58.60131,-7.51634,116,2.41436,0.1
307,17969,58.53094,-7.416938,116,2.410134,0.1
308,18005,58.45779,-7.327922,116,2.406608,0.1
309,18040,58.38188,-7.300971,116,2.406623,0.1
310,18073,58.3,-7.216129,116,2.402752,0.1
311,18105,58.21544,-7.244373,116,2.403188,0.1
312,18140,58.14103,-7.166667,116,2.399077,0.1
313,18176,58.07029,-7.156549,116,2.398308,0.1
314,18211,57.99681,-7.156051,116,2.397234,0.1
315,18247,57.92698,-7.196826,116,2.397521,0.1
316,18282,57.85443,-7.196203,116,2.39843,0.1
317,18317,57.78233,-7.044164,116,2.391338,0.1
318,18351,57.70755,-6.927673,116,2.394202,0.1
319,18386,57.63636,-6.952978,116,2.3928,0.1
320,18421,57.56562,-6.728125,116,2.392443,0.1
321,18457,57.49844,-6.744548,116,2.39149,0.1
322,18493,57.43168,-6.736025,116,2.391145,0.1
