TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
326,16279,49.93558,-3.294478,94,1.565163
327,16313,49.88685,-3.266055,94,1.56206
328,16350,49.84756,-3.112805,94,1.562857
329,16386,49.80547,-3.042553,94,1.563522
330,16422,49.76364,-3.118182,94,1.5656
331,16458,49.72205,-3.024169,94,1.567083
332,16494,49.68072,-2.930723,94,1.564493
333,16530,49.63964,-2.957958,94,1.564544
334,16564,49.59282,-3.002994,94,1.564734
335,16600,49.55224,-3.029851,94,1.565069
336,16636,49.51191,-3.008929,94,1.564557
337,16672,49.47181,-3.011869,94,1.564089
338,16709,49.43491,-2.95858,94,1.561123
339,16743,49.38938,-2.837758,94,1.562874
340,16779,49.35,-2.770588,94,1.564018
341,16814,49.30792,-2.853372,94,1.564591
342,16850,49.269,-2.880117,94,1.564315
343,16885,49.22741,-2.868805,94,1.564847
344,16921,49.18895,-2.94186,94,1.565171
345,16957,49.15073,-2.921739,94,1.566547
346,16992,49.10983,-2.910405,94,1.56755
347,17022,49.05476,-2.896254,94,1.566333
348,17042,48.97126,-2.899425,94,1.565144
349,17066,48.89971,-2.891118,94,1.565245
350,17096,48.84571,-2.922857,94,1.567213
351,17127,48.79487,-2.854701,94,1.566743
352,17161,48.75284,-2.943182,94,1.566634
353,17195,48.71105,-2.827195,94,1.567957
354,17230,48.67232,-2.816384,94,1.569435
355,17264,48.63099,-2.791549,94,1.569405
356,17297,48.58708,-2.820225,94,1.572357
357,17330,48.54342,-2.803921,94,1.573069
358,17363,48.5,-2.832402,94,1.573028
359,17397,48.45961,-2.785515,94,1.574748
360,17430,48.41667,-2.725,94,1.5725
361,17465,48.3795,-2.869806,94,1.573456
362,17498,48.33702,-2.809392,94,1.572208
363,17532,48.29752,-2.785124,94,1.573151
364,17567,48.26099,-2.818681,94,1.574038
365,17601,48.22192,-2.882192,94,1.573919
366,17636,48.18579,-2.784153,94,1.575046
367,17670,48.14714,-2.847411,94,1.576712
368,17704,48.1087,-2.910326,94,1.577359
369,17739,48.07317,-2.856369,94,1.575027
370,17773,48.03513,-2.940541,94,1.576417
371,17808,48,-2.865229,94,1.575236
372,17840,47.95699,-2.814516,94,1.573688
373,17873,47.91689,-2.77748,94,1.57269
374,17907,47.87968,-2.68984,94,1.569133
375,17940,47.84,-2.610667,94,1.569252
376,17974,47.80319,-2.545213,94,1.570946
377,18007,47.76393,-2.551724,94,1.570461
378,18040,47.72487,-2.537037,94,1.571387
379,18073,47.68602,-2.522428,94,1.570911
380,18107,47.65,-2.521053,94,1.570676
381,18140,47.61155,-2.527559,94,1.571088
382,18174,47.57592,-2.568063,94,1.570163
383,18208,47.54047,-2.524804,94,1.570555
384,18244,47.51042,-2.549479,94,1.570462
385,18280,47.48052,-2.47013,94,1.56848
386,18315,47.44818,-2.398964,94,1.567088
387,18350,47.41602,-2.369509,94,1.569739
388,18383,47.37886,-2.376289,94,1.572099
389,18415,47.33933,-2.287918,94,1.572869
390,18450,47.30769,-2.197436,94,1.571197
391,18486,47.27877,-2.181586,94,1.571205
392,18520,47.2449,-2.201531,94,1.571202
393,18555,47.21374,-2.21374,94,1.572512
394,18590,47.18274,-2.286802,94,1.574824
395,18623,47.14684,-2.253165,94,1.573683
396,18658,47.11616,-2.164141,94,1.570335
397,18691,47.0806,-2.110831,94,1.567631
398,18725,47.04774,-2.070352,94,1.568716
399,18759,47.01504,-1.989975,94,1.569254
400,18793,46.9825,-1.95,94,1.568499
401,18828,46.95262,-1.942643,94,1.567621
402,18862,46.9204,-1.942786,94,1.567519
403,18897,46.89082,-1.975186,94,1.56846
404,18931,46.85891,-1.955446,94,1.570177
405,18964,46.82469,-1.962963,94,1.572288
406,18998,46.7931,-1.864532,94,1.57384
407,19030,46.75676,-1.800983,94,1.573803
408,19062,46.72059,-1.816176,94,1.573979
409,19094,46.6846,-1.811736,94,1.572391
410,19127,46.65122,-1.781707,94,1.571508
411,19160,46.618,-1.750608,94,1.573609
412,19191,46.5801,-1.773058,94,1.573602
413,19223,46.5448,-1.788136,94,1.574048
414,19255,46.50966,-1.667874,94,1.57596
415,19287,46.4747,-1.721687,94,1.576606
416,19319,46.4399,-1.698317,94,1.575619
417,19350,46.40288,-1.778177,94,1.576854
418,19382,46.36842,-1.659091,94,1.574349
419,19412,46.32936,-1.650358,94,1.573323
420,19444,46.29524,-1.665476,94,1.574101
421,19476,46.26128,-1.680523,94,1.573823
422,19506,46.22275,-1.633886,94,1.574163
423,19538,46.18913,-1.592199,94,1.575766
424,19570,46.15566,-1.494104,94,1.576872
425,19601,46.12,-1.46,94,1.575462
426,19633,46.08685,-1.419014,94,1.575015
427,19664,46.05152,-1.291569,94,1.575948
428,19696,46.01869,-1.251168,94,1.576516
429,19726,45.98135,-1.262238,94,1.577612
430,19757,45.94651,-1.322093,94,1.578261
431,19789,45.91415,-1.319026,94,1.577218
432,19820,45.87963,-1.28588,94,1.57847
433,19850,45.84296,-1.296767,94,1.579659
434,19881,45.80875,-1.282258,94,1.577933
435,19912,45.77471,-1.304598,94,1.57751
436,19943,45.74083,-1.308486,94,1.57843
437,19974,45.70709,-1.202517,94,1.578179
438,20004,45.67123,-1.176941,94,1.578146
439,20035,45.63781,-1.199317,94,1.57751
440,20066,45.60455,-1.167045,94,1.579307
441,20097,45.57143,-1.153061,94,1.578295
442,20128,45.53846,-1.084842,94,1.576034
443,20158,45.50339,-1.049661,94,1.576966
444,20189,45.47072,-1.072072,94,1.575482
445,20219,45.43596,-1.119101,94,1.577
446,20249,45.40134,-1.076233,94,1.576663
447,20280,45.36913,-1.098434,94,1.577006
448,20310,45.33482,-1.055804,94,1.578553
449,20340,45.30067,-1.048998,94,1.577653
450,20370,45.26667,-1.024444,94,1.577796
451,20400,45.23281,-0.9822617,94,1.576311
452,20430,45.19912,-1.011062,94,1.577867
453,20460,45.16556,-1.039735,94,1.577587
454,20490,45.13216,-1.103524,94,1.578668
455,20519,45.0967,-1.120879,94,1.579286
456,20549,45.06359,-1.114035,94,1.581478
457,20579,45.03064,-1.107221,94,1.580554
458,20609,44.99782,-1.152838,94,1.580135
459,20639,44.96514,-1.12854,94,1.578639
460,20669,44.93261,-1.121739,94,1.578982
461,20699,44.90022,-1.149675,94,1.577744
462,20729,44.86797,-1.177489,94,1.579052
463,20759,44.83585,-1.239741,94,1.580342
464,20789,44.80388,-1.267241,94,1.581863
465,20817,44.76774,-1.187097,94,1.582825
466,20844,44.72961,-1.113734,94,1.580379
467,20874,44.69807,-1.089936,94,1.579559
468,20904,44.66667,-1.134615,94,1.581261
469,20934,44.6354,-1.127932,94,1.58168
470,20964,44.60426,-1.138298,94,1.582731
471,20993,44.57113,-1.104034,94,1.581432
472,21022,44.53814,-1.17161,94,1.582302
473,21052,44.5074,-1.164905,94,1.583792
474,21081,44.47468,-1.181435,94,1.585114
475,21110,44.4421,-1.147368,94,1.586233
476,21140,44.41177,-1.157563,94,1.586256
477,21170,44.38155,-1.150943,94,1.586178
478,21200,44.35146,-1.110879,94,1.587059
479,21230,44.3215,-1.187891,94,1.587591
480,21260,44.29167,-1.18125,94,1.587569
481,21289,44.25988,-1.197505,94,1.587053
482,21318,44.22821,-1.180498,94,1.587409
483,21347,44.19669,-1.196687,94,1.588628
484,21375,44.16322,-1.152893,94,1.588127
485,21403,44.1299,-1.125773,94,1.588742
486,21430,44.09465,-1.13786,94,1.588799
